,,,Cell Identity_0,,,,R0 RSRP_0,,,,R0 RS-CINR_0,,,,R0 RSRQ_0
45967.92627,-97.33805169,49.88254473,148,45967.92627,-97.33805169,49.88254473,-90.6,45967.92627,-97.33805169,49.88254473,18,45967.92627,-97.33805169,49.88254473,-11.02
45967.92628,-97.33805169,49.88254473,148,45967.92628,-97.33805169,49.88254473,-90.25,45967.92628,-97.33805169,49.88254473,20.2,45967.92628,-97.33805169,49.88254473,-10.2
45967.9263,-97.33805169,49.88254473,148,45967.9263,-97.33805169,49.88254473,-88.86,45967.9263,-97.33805169,49.88254473,20.56,45967.9263,-97.33805169,49.88254473,-8.7
45967.92631,-97.33805169,49.88254473,148,45967.92631,-97.33805169,49.88254473,-89.62,45967.92631,-97.33805169,49.88254473,17.55,45967.92631,-97.33805169,49.88254473,-10.18
45967.92632,-97.33805169,49.88254473,148,45967.92632,-97.33805169,49.88254473,-90.4,45967.92632,-97.33805169,49.88254473,16.77,45967.92632,-97.33805169,49.88254473,-8.34
45967.92633,-97.33805169,49.88254473,148,45967.92633,-97.33805169,49.88254473,-87.57,45967.92633,-97.33805169,49.88254473,18.84,45967.92633,-97.33805169,49.88254473,-11.38
45967.92634,-97.33805169,49.88254473,148,45967.92634,-97.33805169,49.88254473,-86.59,45967.92634,-97.33805169,49.88254473,21,45967.92634,-97.33805169,49.88254473,-7.16
45967.92635,-97.33805169,49.88254473,148,45967.92635,-97.33805169,49.88254473,-86.64,45967.92635,-97.33805169,49.88254473,19.55,45967.92635,-97.33805169,49.88254473,-8.16
45967.92637,-97.33805169,49.88254473,148,45967.92637,-97.33805169,49.88254473,-86.58,45967.92637,-97.33805169,49.88254473,18.45,45967.92637,-97.33805169,49.88254473,-8.06
45967.92638,-97.33805169,49.88254473,148,45967.92638,-97.33805169,49.88254473,-86.97,45967.92638,-97.33805169,49.88254473,19.28,45967.92638,-97.33805169,49.88254473,-8.3
45967.92639,-97.33805169,49.88254473,148,45967.92639,-97.33805169,49.88254473,-88.08,45967.92639,-97.33805169,49.88254473,17.62,45967.92639,-97.33805169,49.88254473,-14.11
45967.9264,-97.33805169,49.88254473,148,45967.9264,-97.33805169,49.88254473,-86.94,45967.9264,-97.33805169,49.88254473,17.27,45967.9264,-97.33805169,49.88254473,-11.01
45967.92641,-97.33805169,49.88254473,148,45967.92641,-97.33805169,49.88254473,-87.6,45967.92641,-97.33805169,49.88254473,19.61,45967.92641,-97.33805169,49.88254473,-8.9
45967.92642,-97.33805169,49.88254473,148,45967.92642,-97.33805169,49.88254473,-87.24,45967.92642,-97.33805169,49.88254473,19.12,45967.92642,-97.33805169,49.88254473,-7.89
45967.92643,-97.33805169,49.88254473,148,45967.92643,-97.33805169,49.88254473,-86.85,45967.92643,-97.33805169,49.88254473,18.94,45967.92643,-97.33805169,49.88254473,-9.99
45967.92645,-97.33805169,49.88254473,148,45967.92645,-97.33805169,49.88254473,-88.54,45967.92645,-97.33805169,49.88254473,19.73,45967.92645,-97.33805169,49.88254473,-7.93
45967.92646,-97.33805169,49.88254473,148,45967.92646,-97.33805169,49.88254473,-88.11,45967.92646,-97.33805169,49.88254473,19.39,45967.92646,-97.33805169,49.88254473,-8.64
45967.92647,-97.33805169,49.88254473,148,45967.92647,-97.33805169,49.88254473,-87.84,45967.92647,-97.33805169,49.88254473,21.2,45967.92647,-97.33805169,49.88254473,-7.52
45967.92648,-97.33805169,49.88254473,148,45967.92648,-97.33805169,49.88254473,-88.83,45967.92648,-97.33805169,49.88254473,19.91,45967.92648,-97.33805169,49.88254473,-8.27
45967.92649,-97.33805169,49.88254473,148,45967.92649,-97.33805169,49.88254473,-87.56,45967.92649,-97.33805169,49.88254473,19.29,45967.92649,-97.33805169,49.88254473,-8.71
45967.9265,-97.33805169,49.88254473,148,45967.9265,-97.33805169,49.88254473,-88.6,45967.9265,-97.33805169,49.88254473,19.26,45967.9265,-97.33805169,49.88254473,-8.56
45967.92652,-97.33805169,49.88254473,148,45967.92652,-97.33805169,49.88254473,-88.07,45967.92652,-97.33805169,49.88254473,17.92,45967.92652,-97.33805169,49.88254473,-10.36
45967.92653,-97.33805169,49.88254473,148,45967.92653,-97.33805169,49.88254473,-86.97,45967.92653,-97.33805169,49.88254473,19.99,45967.92653,-97.33805169,49.88254473,-8.25
45967.92654,-97.33805169,49.88254473,148,45967.92654,-97.33805169,49.88254473,-88.26,45967.92654,-97.33805169,49.88254473,17.53,45967.92654,-97.33805169,49.88254473,-7.32
45967.92655,-97.33805169,49.88254473,148,45967.92655,-97.33805169,49.88254473,-87.9,45967.92655,-97.33805169,49.88254473,20.93,45967.92655,-97.33805169,49.88254473,-7.87
