,,,Cell Identity_0,,,,R0 RSRP_0,,,,R0 RS-CINR_0,,,,R0 RSRQ_0
45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,,45967.92627,-97.33805169,49.88254473,
45967.92628,-97.33805169,49.88254473,221,45967.92628,-97.33805169,49.88254473,-78.81,45967.92628,-97.33805169,49.88254473,11.72,45967.92628,-97.33805169,49.88254473,-9.14
45967.9263,-97.33805169,49.88254473,221,45967.9263,-97.33805169,49.88254473,-79.45,45967.9263,-97.33805169,49.88254473,12.01,45967.9263,-97.33805169,49.88254473,-9.06
45967.92631,-97.33805169,49.88254473,221,45967.92631,-97.33805169,49.88254473,-83.36,45967.92631,-97.33805169,49.88254473,11.7,45967.92631,-97.33805169,49.88254473,-8.95
45967.92632,-97.33805169,49.88254473,221,45967.92632,-97.33805169,49.88254473,-81.87,45967.92632,-97.33805169,49.88254473,11.32,45967.92632,-97.33805169,49.88254473,-8.74
45967.92633,-97.33805169,49.88254473,221,45967.92633,-97.33805169,49.88254473,-82.55,45967.92633,-97.33805169,49.88254473,10.17,45967.92633,-97.33805169,49.88254473,-9.22
45967.92634,-97.33805169,49.88254473,221,45967.92634,-97.33805169,49.88254473,-81.12,45967.92634,-97.33805169,49.88254473,10.23,45967.92634,-97.33805169,49.88254473,-8.76
45967.92635,-97.33805169,49.88254473,221,45967.92635,-97.33805169,49.88254473,-80.31,45967.92635,-97.33805169,49.88254473,10.98,45967.92635,-97.33805169,49.88254473,-8.47
45967.92637,-97.33805169,49.88254473,221,45967.92637,-97.33805169,49.88254473,-78.99,45967.92637,-97.33805169,49.88254473,9.99,45967.92637,-97.33805169,49.88254473,-10.13
45967.92638,-97.33805169,49.88254473,221,45967.92638,-97.33805169,49.88254473,-78.8,45967.92638,-97.33805169,49.88254473,11.57,45967.92638,-97.33805169,49.88254473,-8.07
45967.92639,-97.33805169,49.88254473,221,45967.92639,-97.33805169,49.88254473,-78.94,45967.92639,-97.33805169,49.88254473,11.99,45967.92639,-97.33805169,49.88254473,-8.82
45967.9264,-97.33805169,49.88254473,221,45967.9264,-97.33805169,49.88254473,-78.68,45967.9264,-97.33805169,49.88254473,10.17,45967.9264,-97.33805169,49.88254473,-9.11
45967.92641,-97.33805169,49.88254473,221,45967.92641,-97.33805169,49.88254473,-80.87,45967.92641,-97.33805169,49.88254473,9.91,45967.92641,-97.33805169,49.88254473,-8.95
45967.92642,-97.33805169,49.88254473,221,45967.92642,-97.33805169,49.88254473,-82.7,45967.92642,-97.33805169,49.88254473,12.54,45967.92642,-97.33805169,49.88254473,-12.71
45967.92643,-97.33805169,49.88254473,221,45967.92643,-97.33805169,49.88254473,-84.06,45967.92643,-97.33805169,49.88254473,12.66,45967.92643,-97.33805169,49.88254473,-8.13
45967.92645,-97.33805169,49.88254473,221,45967.92645,-97.33805169,49.88254473,-81.27,45967.92645,-97.33805169,49.88254473,12.19,45967.92645,-97.33805169,49.88254473,-8.42
45967.92646,-97.33805169,49.88254473,221,45967.92646,-97.33805169,49.88254473,-82.04,45967.92646,-97.33805169,49.88254473,11.93,45967.92646,-97.33805169,49.88254473,-8.07
45967.92647,-97.33805169,49.88254473,221,45967.92647,-97.33805169,49.88254473,-82.15,45967.92647,-97.33805169,49.88254473,11.35,45967.92647,-97.33805169,49.88254473,-8.54
45967.92648,-97.33805169,49.88254473,221,45967.92648,-97.33805169,49.88254473,-81.26,45967.92648,-97.33805169,49.88254473,12.22,45967.92648,-97.33805169,49.88254473,-8.57
45967.92649,-97.33805169,49.88254473,221,45967.92649,-97.33805169,49.88254473,-82.66,45967.92649,-97.33805169,49.88254473,11.24,45967.92649,-97.33805169,49.88254473,-8.35
45967.9265,-97.33805169,49.88254473,221,45967.9265,-97.33805169,49.88254473,-84.71,45967.9265,-97.33805169,49.88254473,11.68,45967.9265,-97.33805169,49.88254473,-7.79
45967.92652,-97.33805169,49.88254473,221,45967.92652,-97.33805169,49.88254473,-84.9,45967.92652,-97.33805169,49.88254473,10.73,45967.92652,-97.33805169,49.88254473,-8.13
45967.92653,-97.33805169,49.88254473,221,45967.92653,-97.33805169,49.88254473,-85.32,45967.92653,-97.33805169,49.88254473,9.19,45967.92653,-97.33805169,49.88254473,-9.13
45967.92654,-97.33805169,49.88254473,221,45967.92654,-97.33805169,49.88254473,-85.81,45967.92654,-97.33805169,49.88254473,10.65,45967.92654,-97.33805169,49.88254473,-7.98
45967.92655,-97.33805169,49.88254473,221,45967.92655,-97.33805169,49.88254473,-83.71,45967.92655,-97.33805169,49.88254473,11.37,45967.92655,-97.33805169,49.88254473,-7.71
45967.92656,-97.33805169,49.88254473,221,45967.92656,-97.33805169,49.88254473,-84.21,45967.92656,-97.33805169,49.88254473,12.47,45967.92656,-97.33805169,49.88254473,-8.87
45967.92657,-97.33805169,49.88254473,221,45967.92657,-97.33805169,49.88254473,-83.37,45967.92657,-97.33805169,49.88254473,13.9,45967.92657,-97.33805169,49.88254473,-7.34
