cellid_cordinate,cell_lon,cell_lat,PCI,cellid_cordinate,cell_lon_RSRP,cell_lat_RSRP,RSRP,cellid_cordinate,cell_lon_SNR,cell_lat_SNR,SNR,cellid_cordinate,cell_lon_RSRQ,cell_lon_RSRQ,RSRQ
45967.92628,-97.33805169,49.88254473,148.0,45967.92628,-97.33805169,49.88254473,-85.82,45967.92628,-97.33805169,49.88254473,21.93,45967.92628,-97.33805169,49.88254473,-9.49
45967.9263,-97.33805169,49.88254473,148.0,45967.9263,-97.33805169,49.88254473,-86.21,45967.9263,-97.33805169,49.88254473,22.19,45967.9263,-97.33805169,49.88254473,-8.71
45967.92631,-97.33805169,49.88254473,148.0,45967.92631,-97.33805169,49.88254473,-78.16,45967.92631,-97.33805169,49.88254473,21.7,45967.92631,-97.33805169,49.88254473,-8.25
45967.92632,-97.33805169,49.88254473,148.0,45967.92632,-97.33805169,49.88254473,-80.39,45967.92632,-97.33805169,49.88254473,22.1,45967.92632,-97.33805169,49.88254473,-11.12
45967.92633,-97.33805169,49.88254473,148.0,45967.92633,-97.33805169,49.88254473,-83.44,45967.92633,-97.33805169,49.88254473,21.57,45967.92633,-97.33805169,49.88254473,-11.57
45967.92634,-97.33805169,49.88254473,148.0,45967.92634,-97.33805169,49.88254473,-84.93,45967.92634,-97.33805169,49.88254473,22.87,45967.92634,-97.33805169,49.88254473,-9.38
45967.92635,-97.33805169,49.88254473,148.0,45967.92635,-97.33805169,49.88254473,-82.89,45967.92635,-97.33805169,49.88254473,22.4,45967.92635,-97.33805169,49.88254473,-11.02
45967.92637,-97.33805169,49.88254473,148.0,45967.92637,-97.33805169,49.88254473,-83.76,45967.92637,-97.33805169,49.88254473,22.59,45967.92637,-97.33805169,49.88254473,-9.85
45967.92638,-97.33805169,49.88254473,148.0,45967.92638,-97.33805169,49.88254473,-81.74,45967.92638,-97.33805169,49.88254473,19.86,45967.92638,-97.33805169,49.88254473,-12.13
45967.92639,-97.33805169,49.88254473,148.0,45967.92639,-97.33805169,49.88254473,-82.06,45967.92639,-97.33805169,49.88254473,21.85,45967.92639,-97.33805169,49.88254473,-9.83
45967.9264,-97.33805169,49.88254473,148.0,45967.9264,-97.33805169,49.88254473,-82.61,45967.9264,-97.33805169,49.88254473,22.47,45967.9264,-97.33805169,49.88254473,-9.57
45967.92641,-97.33805169,49.88254473,148.0,45967.92641,-97.33805169,49.88254473,-80.82,45967.92641,-97.33805169,49.88254473,21.44,45967.92641,-97.33805169,49.88254473,-13.13
45967.92642,-97.33805169,49.88254473,148.0,45967.92642,-97.33805169,49.88254473,-81.5,45967.92642,-97.33805169,49.88254473,22.42,45967.92642,-97.33805169,49.88254473,-11.47
45967.92643,-97.33805169,49.88254473,148.0,45967.92643,-97.33805169,49.88254473,-81.4,45967.92643,-97.33805169,49.88254473,23.13,45967.92643,-97.33805169,49.88254473,-8.99
45967.92645,-97.33805169,49.88254473,148.0,45967.92645,-97.33805169,49.88254473,-82.94,45967.92645,-97.33805169,49.88254473,24.51,45967.92645,-97.33805169,49.88254473,-8.55
45967.92646,-97.33805169,49.88254473,148.0,45967.92646,-97.33805169,49.88254473,-79.91,45967.92646,-97.33805169,49.88254473,22.35,45967.92646,-97.33805169,49.88254473,-14.09
45967.92647,-97.33805169,49.88254473,148.0,45967.92647,-97.33805169,49.88254473,-81.63,45967.92647,-97.33805169,49.88254473,23.68,45967.92647,-97.33805169,49.88254473,-10.42
45967.92648,-97.33805169,49.88254473,148.0,45967.92648,-97.33805169,49.88254473,-80.44,45967.92648,-97.33805169,49.88254473,23.79,45967.92648,-97.33805169,49.88254473,-10.32
45967.92649,-97.33805169,49.88254473,148.0,45967.92649,-97.33805169,49.88254473,-81.14,45967.92649,-97.33805169,49.88254473,23.25,45967.92649,-97.33805169,49.88254473,-10.27
45967.9265,-97.33805169,49.88254473,148.0,45967.9265,-97.33805169,49.88254473,-81.0,45967.9265,-97.33805169,49.88254473,23.58,45967.9265,-97.33805169,49.88254473,-11.16
45967.92652,-97.33805169,49.88254473,148.0,45967.92652,-97.33805169,49.88254473,-81.43,45967.92652,-97.33805169,49.88254473,21.98,45967.92652,-97.33805169,49.88254473,-8.79
45967.92653,-97.33805169,49.88254473,148.0,45967.92653,-97.33805169,49.88254473,-84.24,45967.92653,-97.33805169,49.88254473,22.78,45967.92653,-97.33805169,49.88254473,-8.13
45967.92654,-97.33805169,49.88254473,148.0,45967.92654,-97.33805169,49.88254473,-85.55,45967.92654,-97.33805169,49.88254473,22.33,45967.92654,-97.33805169,49.88254473,-10.98
45967.92655,-97.33805169,49.88254473,148.0,45967.92655,-97.33805169,49.88254473,-86.39,45967.92655,-97.33805169,49.88254473,23.12,45967.92655,-97.33805169,49.88254473,-8.12
45967.92656,-97.33805169,49.88254473,148.0,45967.92656,-97.33805169,49.88254473,-85.36,45967.92656,-97.33805169,49.88254473,23.46,45967.92656,-97.33805169,49.88254473,-9.25
45967.92657,-97.33805169,49.88254473,148.0,45967.92657,-97.33805169,49.88254473,-81.36,45967.92657,-97.33805169,49.88254473,24.63,45967.92657,-97.33805169,49.88254473,-7.62
45967.92659,-97.33805169,49.88254473,148.0,45967.92659,-97.33805169,49.88254473,-83.43,45967.92659,-97.33805169,49.88254473,24.07,45967.92659,-97.33805169,49.88254473,-7.74
45967.9266,-97.33805169,49.88254473,148.0,45967.9266,-97.33805169,49.88254473,-84.38,45967.9266,-97.33805169,49.88254473,22.56,45967.9266,-97.33805169,49.88254473,-8.32
45967.92661,-97.33805169,49.88254473,148.0,45967.92661,-97.33805169,49.88254473,-83.28,45967.92661,-97.33805169,49.88254473,22.9,45967.92661,-97.33805169,49.88254473,-9.33
45967.92662,-97.33804912,49.88254661,148.0,45967.92662,-97.33804912,49.88254661,-82.88,45967.92662,-97.33804912,49.88254661,23.75,45967.92662,-97.33804912,49.88254661,-7.9
45967.92663,-97.33804214,49.88255171,148.0,45967.92663,-97.33804214,49.88255171,-76.72,45967.92663,-97.33804214,49.88255171,24.0,45967.92663,-97.33804214,49.88255171,-7.94
45967.92664,-97.33803591,49.88255627,148.0,45967.92664,-97.33803591,49.88255627,-76.36,45967.92664,-97.33803591,49.88255627,23.34,45967.92664,-97.33803591,49.88255627,-9.99
45967.92665,-97.33803151,49.88255949,148.0,45967.92665,-97.33803151,49.88255949,-75.68,45967.92665,-97.33803151,49.88255949,22.97,45967.92665,-97.33803151,49.88255949,-8.24
45967.92667,-97.33802328,49.88256551,148.0,45967.92667,-97.33802328,49.88256551,-77.97,45967.92667,-97.33802328,49.88256551,22.83,45967.92667,-97.33802328,49.88256551,-8.3
45967.92668,-97.33801707,49.88257006,148.0,45967.92668,-97.33801707,49.88257006,-82.36,45967.92668,-97.33801707,49.88257006,22.73,45967.92668,-97.33801707,49.88257006,-8.72
45967.92669,-97.33801476,49.8825744,148.0,45967.92669,-97.33801476,49.8825744,-77.81,45967.92669,-97.33801476,49.8825744,22.18,45967.92669,-97.33801476,49.8825744,-7.9
45967.9267,-97.33801602,49.88257832,148.0,45967.9267,-97.33801602,49.88257832,-75.68,45967.9267,-97.33801602,49.88257832,22.22,45967.9267,-97.33801602,49.88257832,-8.85
45967.92671,-97.33801737,49.88258252,148.0,45967.92671,-97.33801737,49.88258252,-75.93,45967.92671,-97.33801737,49.88258252,22.17,45967.92671,-97.33801737,49.88258252,-8.81
45967.92672,-97.33801839,49.8825857,148.0,45967.92672,-97.33801839,49.8825857,-79.2,45967.92672,-97.33801839,49.8825857,23.22,45967.92672,-97.33801839,49.8825857,-8.98
